Brazil	19	216	97	67	15	15	210	88	122
Germany	17	199	99	60	19	20	206	117	89
Italy	17	153	80	44	21	15	126	74	52
Argentina	15	124	70	37	13	20	123	80	43
England	13	97	59	26	19	14	77	52	25
Spain	13	96	56	28	12	16	88	59	29
France	13	86	54	25	11	18	96	68	28
Holland	9	76	43	22	10	11	71	44	27
Uruguay	11	66	47	18	12	17	76	65	11
Sweden	11	61	46	16	13	17	74	69	5
Serbia	11	59	43	17	8	18	64	59	5
Russia	9	57	37	17	6	14	64	44	20
Poland	7	50	31	15	5	11	44	40	4
Mexico	14	49	49	12	13	24	52	89	-37
Hungary	9	48	32	15	3	14	87	57	30
Czech Republic	9	41	33	12	5	16	47	49	-2
Austria	7	40	29	12	4	13	43	47	-4
Portugal	5	39	23	12	3	8	39	22	17
Belgium	11	39	36	10	9	17	46	63	-17
Chile	8	33	29	9	6	14	34	45	-11
Switzerland	9	33	29	9	6	14	38	52	-14
Paraguay	8	31	27	7	10	10	30	38	-8
Romania	7	29	21	8	5	8	30	32	-2
Denmark	4	26	16	8	2	6	27	24	3
USA	9	26	29	7	5	17	32	56	-24
South Korea	8	23	28	5	8	15	28	61	-33
Croatia	3	20	13	6	2	5	15	11	4
Scotland	8	19	23	4	7	12	25	41	-16
Cameroon	6	19	20	4	7	9	17	34	-17
Bulgaria	7	17	26	3	8	15	22	53	-31
Turkey	2	16	10	5	1	4	20	17	3
Japan	4	15	14	4	3	7	12	16	-4
Peru	4	15	15	4	3	8	19	31	-12
Ireland	3	14	13	2	8	3	10	10	0
Ghana	2	14	9	4	2	3	9	10	-1
Nigeria	4	14	14	4	2	8	17	21	-4
Northern Ireland	3	14	13	3	5	5	13	23	-10
Colombia	4	11	13	3	2	8	14	23	-9
South Africa	3	10	9	2	4	3	11	16	-5
Morocco	4	10	13	2	4	7	12	18	-6
Costa Rica	3	10	10	3	1	6	12	21	-9
Ecuador	2	9	7	3	0	4	7	8	-1
Norway	3	9	8	2	3	3	7	8	-1
Australia	3	9	10	2	3	5	8	17	-9
Senegal	1	8	5	2	2	1	7	6	1
East Germany	1	8	6	2	2	2	5	5	0
Algeria	3	8	9	2	2	5	6	12	-6
Saudi Arabia	4	8	13	2	2	9	9	32	-23
Ivory Coast	2	7	6	2	1	3	9	9	0
Ukraine	1	7	5	2	1	2	5	7	-2
Tunisia	4	7	12	1	4	7	8	17	-9
Wales	1	6	5	1	3	1	4	4	0
Iran	3	5	9	1	2	6	6	18	-12
Slovakia	1	4	4	1	1	2	5	7	-2
Slovenia	2	4	6	1	1	4	5	10	-5
Cuba	1	4	3	1	1	1	5	12	-7
North Korea	2	4	7	1	1	5	6	21	-15
Honduras	2	3	6	0	3	3	2	6	-4
Jamaica	1	3	3	1	0	2	3	9	-6
New Zealand	2	3	6	0	3	3	4	14	-10
Greece	2	3	6	1	0	5	2	15	-13
Angola	1	2	3	0	2	1	1	2	-1
Israel	1	2	3	0	2	1	1	3	-2
Egypt	2	2	4	0	2	2	3	6	-3
Kuwait	1	1	3	0	1	2	2	6	-4
Trinidad and Tobago	1	1	3	0	1	2	0	4	-4
Bolivia	3	1	6	0	1	5	1	20	-19
Iraq	1	0	3	0	0	3	1	4	-3
Togo	1	0	3	0	0	3	1	6	-5
Canada	1	0	3	0	0	3	0	5	-5
Indonesia	1	0	1	0	0	1	0	6	-6
United Arab Emirates	1	0	3	0	0	3	2	11	-9
China	1	0	3	0	0	3	0	9	-9
Haiti	1	0	3	0	0	3	2	14	-12
RD Congo	1	0	3	0	0	3	0	14	-14
El Salvador	2	0	6	0	0	6	1	22	-21
		2143	1544	599	346	599	2208	2208	0
			772	299.5	173	299.5		1104	0
